InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceDateParsed
536365,71053,WHITE METAL LANTERN,6,02/01/2011 11:08,5.49,17889,Belgium,2011-02-01 11:08:00
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,01/28/2011 11:32,4.22,16943,Germany,2011-01-28 11:32:00
536366,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,02/05/2011 08:48,5.8,18065,Netherlands,2011-02-05 08:48:00
536366,22752,SET 7 BABUSHKA NESTING BOXES,4,01/13/2011 13:54,7.55,14512,United Kingdom,2011-01-13 13:54:00
536366,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,03/22/2011 17:56,4.03,17075,Germany,2011-03-22 17:56:00
536367,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,01/30/2011 09:24,4.03,17553,France,2011-01-30 09:24:00
536367,84029E,RED WOOLLY HOTTIE WHITE HEART,12,03/24/2011 09:38,7.66,16721,Belgium,2011-03-24 09:38:00
536367,84029E,RED WOOLLY HOTTIE WHITE HEART,12,03/30/2011 16:14,6.03,12804,Germany,2011-03-30 16:14:00
536368,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,03/14/2011 13:13,3.56,15587,Belgium,2011-03-14 13:13:00
536368,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,02/03/2011 17:27,5.59,15617,France,2011-02-03 17:27:00
536368,22632,HAND WARMER RED POLKA DOT,24,01/07/2011 09:09,3.57,17920,Netherlands,2011-01-07 09:09:00
536369,84879,ASSORTED COLOUR BIRD ORNAMENT,6,02/02/2011 16:55,3.57,17918,Belgium,2011-02-02 16:55:00
536369,84029E,RED WOOLLY HOTTIE WHITE HEART,3,01/15/2011 12:27,4.98,12372,Belgium,2011-01-15 12:27:00
536369,22632,HAND WARMER RED POLKA DOT,6,01/14/2011 18:19,0.67,16504,Spain,2011-01-14 18:19:00
536370,84406B,CREAM CUPID HEARTS COAT HANGER,24,03/09/2011 08:38,1.05,12505,United Kingdom,2011-03-09 08:38:00
536370,84029E,RED WOOLLY HOTTIE WHITE HEART,2,03/14/2011 09:05,3.38,12912,Spain,2011-03-14 09:05:00
536370,22633,HAND WARMER UNION JACK,2,02/03/2011 16:55,2.47,14081,Spain,2011-02-03 16:55:00
536371,84029E,RED WOOLLY HOTTIE WHITE HEART,12,03/25/2011 13:28,5.13,16044,United Kingdom,2011-03-25 13:28:00
536371,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,03/17/2011 11:00,2.68,17515,United Kingdom,2011-03-17 11:00:00
536371,22752,SET 7 BABUSHKA NESTING BOXES,4,02/05/2011 18:31,1.68,13429,Belgium,2011-02-05 18:31:00
536372,22633,HAND WARMER UNION JACK,4,02/22/2011 11:06,7.43,15877,France,2011-02-22 11:06:00
536372,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,01/13/2011 08:25,4.05,13241,Germany,2011-01-13 08:25:00
536372,84406B,CREAM CUPID HEARTS COAT HANGER,3,03/01/2011 11:55,4.64,15976,Spain,2011-03-01 11:55:00
536373,22632,HAND WARMER RED POLKA DOT,1,01/31/2011 10:26,1.65,14097,Netherlands,2011-01-31 10:26:00
536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,02/28/2011 12:27,3.41,16898,Belgium,2011-02-28 12:27:00
536373,84029E,RED WOOLLY HOTTIE WHITE HEART,1,03/16/2011 16:03,4.72,12814,United Kingdom,2011-03-16 16:03:00
536374,22632,HAND WARMER RED POLKA DOT,6,01/11/2011 10:04,2.2,17877,Germany,2011-01-11 10:04:00
536374,84879,ASSORTED COLOUR BIRD ORNAMENT,6,01/06/2011 17:05,5.25,17127,Spain,2011-01-06 17:05:00
536374,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,01/31/2011 12:25,3.3,17633,France,2011-01-31 12:25:00
536375,71053,WHITE METAL LANTERN,2,01/10/2011 16:13,3.92,13431,France,2011-01-10 16:13:00
536375,22752,UNKNOWN_ITEM,4,03/11/2011 12:39,3.3,17703,Spain,2011-03-11 12:39:00
536375,84029E,RED WOOLLY HOTTIE WHITE HEART,1,01/18/2011 12:07,8.2,16878,Germany,2011-01-18 12:07:00
536376,22752,SET 7 BABUSHKA NESTING BOXES,12,02/03/2011 16:31,4.47,12762,United Kingdom,2011-02-03 16:31:00
536376,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,03/23/2011 12:10,-2.38,16865,Belgium,2011-03-23 12:10:00
536376,71053,WHITE METAL LANTERN,12,01/20/2011 16:02,6.15,17117,Spain,2011-01-20 16:02:00
536377,84029E,RED WOOLLY HOTTIE WHITE HEART,24,01/06/2011 13:13,2.06,17809,United Kingdom,2011-01-06 13:13:00
536377,21730,UNKNOWN_ITEM,12,01/20/2011 11:55,4.92,13796,Netherlands,2011-01-20 11:55:00
536377,22752,SET 7 BABUSHKA NESTING BOXES,4,03/27/2011 11:17,0.58,18090,United Kingdom,2011-03-27 11:17:00
536378,22633,UNKNOWN_ITEM,24,02/28/2011 13:19,1.84,14210,Germany,2011-02-28 13:19:00
536378,22752,SET 7 BABUSHKA NESTING BOXES,1,02/05/2011 13:41,4.89,17912,Spain,2011-02-05 13:41:00
536378,84029E,RED WOOLLY HOTTIE WHITE HEART,3,01/05/2011 09:38,5.98,14915,Netherlands,2011-01-05 09:38:00
536379,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,02/02/2011 08:45,4.84,16605,Spain,2011-02-02 08:45:00
536379,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,03/27/2011 13:39,4.27,13366,Belgium,2011-03-27 13:39:00
536379,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,02/07/2011 16:08,3.9,17793,Netherlands,2011-02-07 16:08:00
536380,84879,ASSORTED COLOUR BIRD ORNAMENT,4,03/12/2011 08:19,1.54,15867,Spain,2011-03-12 08:19:00
536380,22633,HAND WARMER UNION JACK,2,03/07/2011 15:50,3.06,13736,Belgium,2011-03-07 15:50:00
536380,84879,UNKNOWN_ITEM,24,01/31/2011 18:19,3.58,13977,Germany,2011-01-31 18:19:00
536381,22633,HAND WARMER UNION JACK,24,01/10/2011 15:26,6.61,17061,Germany,2011-01-10 15:26:00
536381,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,03/30/2011 08:57,5.19,13219,Netherlands,2011-03-30 08:57:00
536381,22632,HAND WARMER RED POLKA DOT,6,02/01/2011 09:29,0.97,16152,Belgium,2011-02-01 09:29:00
536382,22752,SET 7 BABUSHKA NESTING BOXES,4,03/20/2011 16:27,5.15,16834,Netherlands,2011-03-20 16:27:00
536382,22633,HAND WARMER UNION JACK,24,02/01/2011 18:17,3.73,16616,Netherlands,2011-02-01 18:17:00
536382,71053,WHITE METAL LANTERN,2,02/04/2011 13:20,3.15,13006,Germany,2011-02-04 13:20:00
536383,84406B,CREAM CUPID HEARTS COAT HANGER,1,02/23/2011 14:21,5.72,15752,United Kingdom,2011-02-23 14:21:00
536383,84879,ASSORTED COLOUR BIRD ORNAMENT,1,03/15/2011 14:30,6.56,GUEST,Netherlands,2011-03-15 14:30:00
536383,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,03/11/2011 17:57,6.36,14143,France,2011-03-11 17:57:00
536384,22752,SET 7 BABUSHKA NESTING BOXES,24,02/21/2011 10:53,2.82,13391,Spain,2011-02-21 10:53:00
536384,84879,ASSORTED COLOUR BIRD ORNAMENT,1,01/11/2011 18:27,3.88,16128,Germany,2011-01-11 18:27:00
536384,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,02/18/2011 12:48,5.16,15799,France,2011-02-18 12:48:00
536385,22632,HAND WARMER RED POLKA DOT,12,01/29/2011 18:04,6.45,17685,United Kingdom,2011-01-29 18:04:00
536385,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,01/20/2011 11:08,3.54,13283,Spain,2011-01-20 11:08:00
536385,84029E,RED WOOLLY HOTTIE WHITE HEART,2,03/19/2011 17:47,4.13,13687,France,2011-03-19 17:47:00
